stage,provider,model,prompt_token,completion_token,total_token
INITIAL_EXECUTION,openai,gpt-4o-mini,26,106,132
INITIAL_EXECUTION,google,gemini-2.5-flash-lite,19,111,130
INITIAL_EXECUTION,anthropic,claude-haiku-4-5-20251001,24,141,165
INITIAL_EXECUTION,nvidia,nvidia/nemotron-3-super-120b-a12b,34,118,152
INITIAL_EXECUTION,meta,meta/llama-4-maverick-17b-128e-instruct,30,110,140
INITIAL_EXECUTION,mistral,mistral-small-latest,35,125,160
CONSENSUS_SYNTHESIS,openai,gpt-4o-mini,821,118,939
CONSENSUS_SYNTHESIS,google,gemini-2.5-flash-lite,861,105,966
CONSENSUS_SYNTHESIS,anthropic,claude-haiku-4-5-20251001,879,193,1072
CONSENSUS_SYNTHESIS,nvidia,nvidia/nemotron-3-super-120b-a12b,851,124,975
CONSENSUS_SYNTHESIS,meta,meta/llama-4-maverick-17b-128e-instruct,822,116,938
CONSENSUS_SYNTHESIS,mistral,mistral-small-latest,852,140,992
SCORING_RANDOM,openai,gpt-4o-mini,423,40,463
SCORING_RANDOM,google,gemini-2.5-flash-lite,455,45,500
SCORING_RANDOM,anthropic,claude-haiku-4-5-20251001,491,53,544
SCORING_RANDOM,nvidia,nvidia/nemotron-3-super-120b-a12b,523,61,584
SCORING_RANDOM,meta,meta/llama-4-maverick-17b-128e-instruct,458,37,495
SCORING_RANDOM,mistral,mistral-small-latest,468,59,527
